"","ERR1797969","ERR1797970","ERR1797971","ERR1797972","ERR1797973","ERR1797974"
"PHJJKLOP_00126",11390.0825871519,11366.3657623542,11112.9243087961,19436.783481074,17904.2000106458,17646.5137326943
"PHJJKLOP_00127",2047.9278396735,1995.77977460623,2058.73909732927,3933.60223978834,3677.41867438576,3842.83357229272
"PHJJKLOP_00128",2776.77299863231,3092.91551413494,2944.10357960041,7315.53519993963,7718.13985885497,7190.20123789478
"PHJJKLOP_00129",1907.01007518384,1890.1150364158,1891.26653863461,3806.15389135734,3576.85364042252,3636.7197551094
"PHJJKLOP_00130",1317.92761707133,1229.46354249617,1123.23951786929,2082.87015150098,2012.20667056191,1955.10846780132
"PHJJKLOP_00131",1942.81704812793,1711.37375031796,1750.46158482764,3298.1811883252,2685.35820420779,2676.50682794292
"PHJJKLOP_00132",1578.97200047021,1518.80717137278,1597.92288487008,3240.82943153124,2382.75711102108,2418.86455646377
"PHJJKLOP_00133",1912.78539340063,1871.35213898011,1781.39600649735,3511.20199927416,3377.53555508996,3112.51682583069
"PHJJKLOP_00134",5690.99857082422,5002.7809689041,5216.18351603117,8068.39080102849,7920.17591807843,7759.98703058903
"PHJJKLOP_00135",2141.48799478549,2351.28730496657,2332.88207557468,5195.34088925528,4801.75387392081,4760.43643148381
"PHJJKLOP_00136",1091.53514297319,1015.1715033623,1019.76921090507,319.531216423446,303.507084483674,301.243271267918
"PHJJKLOP_00137",8820.06598068068,8560.81883526048,8832.31073880124,3848.94012261632,4063.37096689336,4026.15595776826
"PHJJKLOP_00138",21.9462092237995,21.7254601886873,19.2006755191331,28.220705724008,36.2396518786476,45.5828634155402
"PHJJKLOP_00139",0,0,0,0,0,0
"PHJJKLOP_00140",0,0,0,0.910345345935743,1.81198259393238,0
"PHJJKLOP_00141",1.15506364335787,0,0,0.910345345935743,0,0.990931813381309
"PHJJKLOP_00142",0,0,0,0,0,0
"PHJJKLOP_00143",0,0,0,0,0,0
"PHJJKLOP_00144",0,0,0,0,0,0
"PHJJKLOP_00146",24.2563365105152,32.588190283031,37.3346468427589,5.46207207561446,6.34193907876333,3.96372725352524
"PHJJKLOP_00147",0,0,0,0,0,0
"PHJJKLOP_00148",0,0,0,0,0,0
"PHJJKLOP_00149",0,0,0,0,0,0
